Index,Group
1,CH3
2,CH2
3,CH
4,C
5,CH2=CH
6,CH=CH
7,CH2=C
8,CH=C
9,C=C
10,CH2=C=CH
11,CH2=C=C
12,CH=C=CH
13,CH#C
14,C#C
15,aCH
16,aC fused with aromatic ring
17,aC fused with nonaromatic subring
18,aC except as above
19,aN in aromatic ring
20,aC-CH3
21,aC-CH2
22,aC-CH
23,aC-C
24,aC-CH=CH2
25,aC-CH=CH
26,aC-C=CH2
27,aC-C#CH
28,aC-C#C
29,OH
30,aC-OH
31,COOH
32,aC-COOH
33,CH3CO
34,CH2CO
35,CHCO
36,CCO
37,aC-CO
38,CHO
39,aC-CHO
40,CH3COO
41,CH2COO
42,CHCOO
43,CCOO
44,HCOO
45,aC-COO
46,aC-OOCH
47,aC-OOC
48,COO except as above
49,CH3O
50,CH2O
51,CH-O
52,C-O
53,aC-O
54,CH2NH2
55,CHNH2
56,CNH2
57,CH3NH
58,CH2NH
59,CHNH
60,CH3N
61,CH2N
62,aC-NH2
63,aC-NH
64,aC-N
65,NH2 except as above
66,CH=N
67,C=N
68,CH2CN
69,CHCN
70,CCN
71,aC-CN
72,CN except as above
73,CH2NCO
74,CHNCO
75,CNCO
76,aC-NCO
77,CH2NO2
78,CHNO2
79,CNO2
80,aC-NO2
81,NO2 except as above
82,ONO
83,ONO2
84,HCON(CH2)2
85,HCONHCH2
86,CONH2
87,CONHCH3
88,CONHCH2
89,CON(CH3)2
90,CONCH3CH2
91,CON(CH2)2
92,CONHCO
93,CONCO
94,aC-CONH2
95,aC-NH(CO)H
96,aC-N(CO)H
97,aC-CONH
98,aC-NHCO
99,aC-NCO
100,NHCONH
101,NH2CONH
102,NH2CON
103,NHCON
104,NCON
105,aC-NHCONH2
106,aC-NHCONH
107,NHCO except as above
108,CH2Cl
109,CHCl
110,CCl
111,CHCl2
112,CCl2
113,CCl3
114,CH2F
115,CHF
116,CF
117,CHF2
118,CF2
119,CF3
120,CCl2F
121,HCClF
122,CClF2
123,aC-Cl
124,aC-F
125,aC-I
126,aC-Br
127,I- except as above
128,Br- except as above
129,F- except as above
130,Cl- except as above
131,CHNOH
132,CNOH
133,aC-CHNOH
134,OCH2CH2OH
135,OCHCH2OH
136,OCH2CHOH
137,-O-OH
138,CH2SH
139,CHSH
140,CSH
141,aC-SH
142,-SH ( except as above)
143,CH3S
144,CH2S
145,CHS
146,CS
147,aC-S-
148,SO
149,SO2
150,SO3 (sulfite)
151,SO3 (sulfonate)
152,SO4 (sulfate)
153,aC-SO
154,aC-SO2
155,PH (phosphine)
156,P (phosphine)
157,PO3 (phosphite)
158,PHO3 (phosphonate)
159,PO3 (phosphonate)
160,PHO4 (phosphate)
161,PO4 (phosphate)
162,aC-PO4
163,aC-P
164,CO3 (carbonate)
165,C2H3O
166,C2H2O
167,C2O
168,CH2 (cyclic)
169,CH (cyclic)
170,C (cyclic)
171,CH=CH (cyclic)
172,CH=C (cyclic)
173,C=C (cyclic)
174,CH2=C (cyclic)
175,NH (cyclic)
176,N (cyclic)
177,CH=N (cyclic)
178,C=N (cyclic)
179,O (cyclic)
180,CO (cyclic)
181,S (cyclic)
182,SO2 (cyclic)
