Number,Name,SMILES,1,2,3,4,5,6,7,8
1,CH3,[CH3;X4],FALSE,FALSE,1,TRUE,0,FALSE,0,0
2,CH2,[CH2;X4],FALSE,FALSE,1,FALSE,0,FALSE,0,0
3,CH,[CH1;X4],FALSE,FALSE,1,FALSE,0,FALSE,0,0
4,C,"[CH0;X4], [CH0;X3]",FALSE,FALSE,1,FALSE,0,FALSE,0,0
5,CH2=CH,[CH2]=[CH],FALSE,FALSE,2,TRUE,0,FALSE,0,1
6,CH=CH,[CH]=[CH],FALSE,FALSE,2,FALSE,0,FALSE,0,1
7,CH2=C,"[CH2]=[C], [CH2]=[c]",FALSE,FALSE,2,FALSE,0,FALSE,0,1
8,CH=C,"[CH]=[CH0], [CH]=[cH0]",FALSE,FALSE,2,FALSE,0,FALSE,0,1
9,ACH,[cH],FALSE,FALSE,1,FALSE,0,TRUE,0,0
10,AC,[cH0],FALSE,FALSE,1,FALSE,0,TRUE,0,0
11,ACCH3,[c][CH3;X4],FALSE,FALSE,2,FALSE,0,TRUE,0,0
12,ACCH2,[c][CH2;X4],FALSE,FALSE,2,FALSE,0,TRUE,0,0
13,ACCH,[c][CH;X4],FALSE,FALSE,2,FALSE,0,TRUE,0,0
14,OH,[OH],FALSE,FALSE,1,TRUE,1,FALSE,0,0
15,CH3OH,[CH3][OH],TRUE,FALSE,2,FALSE,1,FALSE,0,0
16,H2O,[OH2],TRUE,FALSE,1,FALSE,1,FALSE,0,0
17,ACOH,[c][OH],FALSE,FALSE,2,FALSE,1,TRUE,0,0
18,CH3CO,[CH3][CH0]=O,FALSE,FALSE,3,TRUE,1,FALSE,0,1
19,CH2CO,[CH2][CH0]=O,FALSE,FALSE,3,FALSE,1,FALSE,0,1
20,CH=O,[CH]=O,FALSE,FALSE,2,TRUE,1,FALSE,0,1
21,CH3COO,[CH3]C(=O)[OH0],FALSE,FALSE,4,TRUE,2,FALSE,0,1
22,CH2COO,[CH2]C(=O)[OH0],FALSE,FALSE,4,FALSE,2,FALSE,0,1
23,HCOO,[CH](=O)[OH0],FALSE,FALSE,3,TRUE,2,FALSE,0,1
24,CH3O,[CH3][OH0],FALSE,FALSE,2,TRUE,1,FALSE,0,0
25,CH2O,[CH2][OH0],FALSE,FALSE,2,FALSE,1,FALSE,0,0
26,CHO,[CH][OH0],FALSE,FALSE,2,FALSE,1,FALSE,0,0
27,THF,[CH2;R][OH0],FALSE,FALSE,2,FALSE,1,TRUE,0,0
28,CH3NH2,[CH3][NH2],TRUE,FALSE,2,FALSE,1,FALSE,0,0
29,CH2NH2,[CH2][NH2],FALSE,FALSE,2,TRUE,1,FALSE,0,0
30,CHNH2,[CH][NH2],FALSE,FALSE,2,FALSE,1,FALSE,0,0
31,CH3NH,[CH3][NH],FALSE,FALSE,2,TRUE,1,FALSE,0,0
32,CH2NH,[CH2][NH],FALSE,FALSE,2,FALSE,1,FALSE,0,0
