"id","smiles"
"1","CCCCCCCCCCCCCCCC"
"2","CCCCCCCCCCCCCCCC"
"3","CCCC(C)C"
"4","CCC(C)(C)C"
"5","CCCCC=C"
"6","CCCC=CC"
"7","CCC(=C)C"
"8","CC=C(C)C"
"9","CC(C)=C(C)C"
"10","CC=C=C"
"11","CC(C)=C=C"
"12","CC=C=CC"
"13","CCCC#C"
"14","CCCCCCC#CCC"
"15","c1ccccc1"
"16","c1ccc2ccccc2c1"
"17","c1ccc2c(c1)CCC2"
"18","O=C(c1ccccc1)c2ccccc2"
"19","c1ccncc1"
"20","Cc1ccccc1"
"21","CCc1ccccc1"
"22","CC(C)c1ccccc1"
"23","CC(C)(C)c1ccccc1"
"24","C=Cc1ccccc1"
"25","CC=Cc1ccccc1"
"26","CC(=C)c1ccccc1"
"27","C#Cc1ccccc1"
"28","CC#Cc1ccccc1"
"29","OCCCCO"
"30","Oc1ccccc1"
"31","O=C(O)CCCC(=O)O"
"32","O=C(O)c1ccccc1"
"33","CCC(C)=O"
"34","CCC(=O)CC"
"35","CC(C)C(=O)C(C)C"
"36","CC(C)(C)C(=O)C(C)(C)C"
"37","CC(=O)c1ccccc1"
"38","CCCCCC=O"
"39","O=Cc1ccccc1"
"40","CCCCOC(=O)C"
"41","CCCC(=O)OC"
"42","CCOC(=O)C(C)C"
"43","CCOC(=O)C(C)(C)C"
"44","CCCOC=O"
"45","COC(=O)c1ccccc1"
"46","O=COc1ccccc1"
"47","CC(=O)Oc1ccccc1"
"48","CCOC(=O)C=C"
"49","CCCCOC"
"50","CCCCOCCCC"
"51","CCC(C)OC(C)CC"
"52","CC(C)(C)OC(C)(C)C"
"53","COc1ccccc1"
"54","CCN"
"55","CCC(C)N"
"56","CC(C)(C)N"
"57","CNC"
"58","CCCNCCC"
"59","CC(C)NC(C)C"
"60","CCN(CC)C"
"61","CCN(CC)CC"
"62","Nc1ccccc1"
"63","CNc1ccccc1"
"64","CN(C)c1ccccc1"
"65","NC1CCC1"
"66","CC=NN=CC"
"67","CC(C)=NN=C(C)C"
"68","CCC#N"
"69","CC(C)C#N"
"70","CC(C)(C)C#N"
"71","N#Cc1ccccc1"
"72","C=CC#N"
"73","CCN=C=O"
"74","CC(C)N=C=O"
"75","CC(C)(C)N=C=O"
"76","O=C=Nc1ccccc1"
"77","CCCN(=O)=O"
"78","CC(C)N(=O)=O"
"79","CC(C)(C)N(=O)=O"
"80","O=N(=O)c1ccccc1"
"81","O=N(=O)C1CCCCC1"
"82","CCCCON=O"
"83","CCCCO[N+](=O)[O-]"
"84","CCN(CC)C=O"
"85","CCNC=O"
"86","CCCC(=O)N"
"87","CNC(=O)C"
"88","CCNC(=O)C"
"89","CN(C)C(=O)C"
"90","CCN(C)C(=O)C"
"91","CCN(CC)C(=O)C"
"92","CC(=O)NC(=O)C"
"93","CN(C(=O)C)C(=O)C"
"94","NC(=O)c1ccccc1"
"95","O=CNc1ccccc1"
"96","CN(C=O)c1ccccc1"
"97","CNC(=O)c1ccccc1"
"98","CC(=O)Nc1ccccc1C"
"99","CN(C(=O)C)c1ccccc1"
"100","CNC(=O)NC"
"101","CNC(=O)N"
"102","CN(C)C(N)=O"
"103","CN(C)C(=O)NC"
"104","CN(C)C(=O)N(C)C"
"105","NC(=O)Nc1ccccc1"
"106","O=C(Nc1ccccc1)Nc2ccccc2"
"107","CC(=O)NCl"
"108","CCCCCl"
"109","CC(Cl)C"
"110","CC(C)(C)Cl"
"111","CC(Cl)Cl"
"112","CC(Cl)(Cl)C"
"113","CC(Cl)(Cl)Cl"
"114","CCCCF"
"115","CCC(F)C"
"116","CC(C)(C)F"
"117","CC(F)F"
"118","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"119","FC(F)(F)C(F)(F)F"
"120","FC(Cl)(Cl)C(F)(Cl)Cl"
"121","FC(F)(F)C(F)Cl"
"122","FC(F)(Cl)C(F)(F)Cl"
"123","Clc1ccccc1"
"124","Fc1c(F)c(F)c(F)c(F)c1F"
"125","Ic1ccccc1"
"126","Brc1ccccc1"
"127","CCI"
"128","CCBr"
"129","FCc1ccccc1"
"130","CCOC(=O)CCl"
"131","CCC=NO"
"132","CCC(=NO)CC"
"133","ON=Cc1ccccc1"
"134","CCOCCO"
"135","CCOC(C)CO"
"136","COCC(C)O"
"137","CC(C)(C)OO"
"138","CCS"
"139","CC(S)C"
"140","CC(C)(C)S"
"141","Sc1ccccc1"
"142","SC1CCCCC1"
"143","CSC"
"144","CCSCC"
"145","CC(C)SC(C)C"
"146","CC(C)(C)SC(C)(C)C"
"147","CSc1ccccc1"
"148","CS(=O)C"
"149","CS(=O)(=O)C"
"150","COS(=O)OC"
"151","CS(=O)(=O)OC"
"152","COS(=O)(=O)OC"
"153","CS(=O)c1ccccc1"
"154","O=S(=O)(c1ccccc1)c2ccccc2"
"155","CP(C)"
"156","CP(C)C"
"157","CCOP(OCC)OCC"
"158","COP(=O)OC"
"159","CP(=O)(OC)OC"
"160","CCOP(=O)(O)OCC"
"161","COP(=O)(OC)OC"
"162","O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1"
"163","P(c1ccccc1)(c1ccccc1)c1ccccc1"
"164","CCOC(=O)OCC"
"165","CCC1CO1"
"166","CC1(C)CO1"
"167","CC1(C)C(C)O1"
"168","C1CCCC1"
"169","CC1CCCC1"
"170","CC1(C)CCCCC1"
"171","C1=CCC1"
"172","CC1=CCCC1"
"173","CC1=C(C)CCC1"
"174","C=C1CCCCC1"
"175","C1CCNC1"
"176","CN1CCCC1"
"177","C1=NCCC1"
"178","CC1=NCCC1"
"179","C1CCOCC1"
"180","O=C1CCC1"
"181","CC1CCCS1"
"182","O=S1(=O)C=CC1"
"166","CC1OC1C",
