"id","smiles"
"33","CCC(C)=O"
"37","CC(=O)c1ccccc1",acetophenone
"45","COC(=O)c1ccccc1"
"47","CC(=O)Oc1ccccc1"
"53","COc1ccccc1"
"63","CNc1ccccc1"
"93","CN(C(=O)C)C(=O)C"
"97","CNC(=O)c1ccccc1"
"98","CC(=O)Nc1ccccc1C"
"100","CNC(=O)NC",1,3-dimethylurea
"107","CC(=O)NCl"
"127","CCI"
"128","CCBr"
"129","FCc1ccccc1"
"130","CCOC(=O)CCl"
"133","ON=Cc1ccccc1"
"137","CC(C)(C)OO"
"147","CSc1ccccc1"
"158","COP(=O)OC"
"160","CCOP(=O)(O)OCC"
"165","CCC1CO1"
"166","CC1(C)CO1"
"167","CC1(C)C(C)O1"
"177","c1c[nH]cn1"
"178","Cc1ncc[nH]1"
"179","C1CCOCC1"
"181","Cc1cccs1"
"183","CC(=O)C(C)(C)C"
"184","c1ccc(COc2ccccc2)cc1"
