"id","smiles"
24346,F[Al-](F)(F)F
3841,COc1cc(C(=O)O)ccc1[N+](=O)[O-]
27526,[NH3+]CCc1ccccc1
35087,CCCCCCCCCCn1c[n+](C)cn1
10150,CCCCC(Br)[N+](=O)[O-]
23746,O=C1[N-]S(=O)(=O)c2ccccc21
40999,O=C([O-])COc1ccc(OCC(=O)[O-])cc1
5918,CC[N+](=O)[O-]
961,CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-]
32409,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
29672,CC(N)C(=O)[O-]
29210,CC[N+]1(C)CCCCC1
40533,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC
27602,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
27079,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1
20181,[NH3+]C1CCCCC1
19880,Nc1nc(N)c([N+](=O)[O-])cc1[N+](=O)[O-]
9946,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)cc1
22679,O=[N+]([O-])c1ccc(/[N+]([O-])=N/c2ccccc2)cc1
37864,O=[N+]([O-])c1cccc(C2=CS(=O)(=O)OC(c3cccc([N+](=O)[O-])c3)=C2)c1
32434,CCCCCCCCCC[N+](C)(C)C(C)C
8212,O=c1nc([N+](=O)[O-])[nH][nH]1
39870,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)[O-]
32634,CCCCCCCCCCCC[NH2+]C1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
20494,CCCCCCCCCCCCc1cc[n+](C)cc1
34198,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[n-]2)c1C
30466,Cn1cc[n+](COCCCOC[n+]2ccn(C)c2)c1
5491,C/C(=C\c1ccccc1)[N+](=O)[O-]
26593,CCCCCCCC[N+]1(CC)CCCCC1
6468,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
39061,CCCCC(CC)C(=O)[O-]
24547,CCCCCCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
19229,CC=C(CCC)[N+](=O)[O-]
38872,Cn1cc[n+](CCOC(=O)CCC(=O)O)c1
31641,c1nnc[n-]1
26939,CCOC(=O)CN=[N+]=[N-]
23202,[O-][Br+2]([O-])[O-]
33410,O=[N+]([O-])c1cc([N+](=O)[O-])c([S-])c([N+](=O)[O-])c1
9471,CC(=O)N(CCN(C(C)=O)[N+](=O)[O-])[N+](=O)[O-]
25274,[AsH6+3]
3663,C=C(C)[N+](=O)[O-]
27463,N[NH3+]
24890,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1
39054,CN(C)c1cc[n+](CCCS(=O)(=O)O)cc1
11898,Cc1c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c1C
36322,CCCCC[n+]1ccn([C@@H](C)c2ccccc2)c1
31043,CC[N+](C)(C)CCOC
39340,C=C[C@H]1C[N@+]2(CCOCCOC)CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
27188,CC(C)C[NH3+]
28734,O=[V]([O-])([O-])[O-]
4613,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
29733,NC(CO)C(=O)[O-]
36109,O=C1CCCC2=C1C(c1ccccc1[N+](=O)[O-])n1ncnc1N2
1215,CCOC(=O)c1c(C)[n+]([O-])c2ccccc2[n+]1[O-]
19291,O=[V-2](Cl)(Cl)(Cl)Cl
38542,O=[N+]([O-])c1cccc(OC(F)(F)F)c1
20226,[Cr+3]
40256,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
34868,CCCCCCCC[n+]1cn(N)cn1
31069,Cn1cc[n+](CC(Br)CN=[N+]=[N-])c1
37003,CCOC1(C)Oc2ccccc2C=C1C(=O)/C=C/c1ccc([N+](=O)[O-])cc1
19228,CCCCC=C(C)[N+](=O)[O-]
1974,O=C(O)Cc1cccc([N+](=O)[O-])c1
23783,CC1=[NH+]N(N)NN1C
20214,ClP(Cl)(Cl)=[N+]=P(Cl)(Cl)Cl
1026,CCc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
37476,C=Cc1ccc(C[N+]2(C)CCOCC2)cc1
12557,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-]
39486,Cc1[nH+]ccn1CCCCn1cc[nH+]c1C
36527,C[NH+](C)CCCO
20331,Cc1ccc(C(=O)[O-])c(C)c1
22723,Cn1cnc([N+](=O)[O-])n1
8798,CC(C)[C@H]1OC[C@@H]([N+](=O)[O-])CO1
33122,CCOCC[n+]1ccn(C)c1
34631,CCOC(=O)CCC[N+]1(C)CCCC1
24651,[N-]=[N+]=NCCN(CCN=[N+]=[N-])[N+](=O)[O-]
23908,[N-]=[N+]=NCCn1cnc(N=[N+]=[N-])n1
27606,O=C([O-])CCc1ccccc1
38547,O=[N+]([O-])c1ccccc1[N+]([O-])=[N+]([O-])c1ccccc1[N+](=O)[O-]
28807,O=S(=O)([O-])C(F)(F)C(F)OC(F)(F)C(F)(F)F
18005,COc1ccc(C(C)OCCCl)cc1[N+](=O)[O-]
33334,COCn1nc([N+](=O)[O-])c(N)c1[N+](=O)[O-]
41178,O=c1nc[nH]c2nc[n-]c12
36384,CCCCCOC(=O)C[N+](CCCC)(CCCC)CCCC
30299,O=C([O-])c1cc(C(=O)[O-])cc([N+](=O)[O-])c1
36327,CCC[n+]1ccn([C@H](C)c2ccccc2)c1
24761,Nc1ccc(S(=O)(=O)[N-]c2nccs2)cc1
13452,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C
27959,CCCCC[N+](C)(C)CCOCC[N+](C)(C)CCOCCOC
40468,CCCCCCCCOC(=O)C[N+](C)(C)C
41034,CCCCCCN(C)[c+]1c(N(C)C)c1N(C)C
38546,[O-][N+](c1ccccc1)=[N+]([O-])c1ccccc1
33389,CCCCCCCCCCCC[N+]1(C)CCCC1
6177,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl
6754,CC(C)(C)c1ccccc1[N+](=O)[O-]
26851,O=C(O)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
9377,COc1ccc(N)cc1[N+](=O)[O-]
23541,[U+4]
10331,O=[N+]([O-])c1cc([N+](=O)[O-])nc([N+](=O)[O-])c1
35764,Cc1noc(C)c1[N+](=O)[O-]
4650,O=[N+]([O-])N(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
35177,C=CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)[O-])c3csc(N)n3)[C@H]2SC1
41291,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(O)c1O
24600,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
5167,N#CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
36326,CCCCC[n+]1ccn([C@H](C)c2ccccc2)c1
9060,CCc1cc(Cl)c([N+](=O)[O-])cc1NC(C)=O
36993,O=[Mo](=O)([O-])O[Mo](=O)(=O)O[Mo](=O)(=O)[O-]
39134,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2
3352,O=[N+]([O-])c1ccc(O)c2ncccc12
39406,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CC[N+]1(C)Cc1ccc2c(c1)OCO2
30081,CCCC[n+]1cccc2ccccc21
34935,CC1CC(=O)NN=C1c1cccc([N+](=O)[O-])c1
28207,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1
20172,CCCC[B-](CCCC)(CCCC)CCCC
39073,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
30391,NC(=O)C[C@H](N)C(=O)[O-]
37401,CC(=O)N[C@@H](C)C(=O)[O-]
40560,O=[N+]([O-])c1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1
41280,C[N+](C)(C)CCOC(=O)/C=C/c1ccccc1
23594,S=C([S-])N1CCCCCC1
36412,C[N+]1(CCOCCOCC[N+]2(C)CCCC2)CCCC1
27430,CCCCC/C=C\C/C=C\CCCCCCCC[n+]1ccn(C)c1
35736,O=S(=O)(O)CCC[n+]1cc[nH]c1-c1ccccc1
37450,CCOC(=O)[C@@H]1CCC[N+]1(CC)CC
39630,CC1(C)CC(=O)[CH-]C(=O)C1
4596,CCC(C)[N+](=O)[O-]
