"id","smiles"
200000,CCO
1,CCCCCCCCNC(=O)NCCCCCCCC
2,CCCCCCCCCCNC(=O)NCCCCCCCCCC
3927,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl
12454,Cc1c(C(C)C)cc(Cl)cc1C(C)C
17463,CCC(C)c1ccc(-c2ccccc2)cc1
2928,CCCC(CCC)CCC
24346,F[Al-](F)(F)F
38795,CCCCCCCCCCCCCCCCSC(=O)CCCCCCCCCCC
34555,CCSCC[P+](CC)(CC)CC.F[B-](F)(F)F
37210,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
21528,O=CNC=O
4784,Ic1ccccc1I
3841,COc1cc(C(=O)O)ccc1[N+](=O)[O-]
30125,NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)O
11489,CCC(CC)C(C)(C)O
961,CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-]
32409,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
36407,O=C1CCC2CCC1C2
2982,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1
38098,CCOC(=O)C=Cc1ccccc1
19844,CC(CN1c2ccccc2S(=O)(=O)c2ccccc21)N(C)C
29672,CC(N)C(=O)[O-]
3720,O=c1ccoc2ccccc12
27643,CCCCCCCCC(CCCCCCCC)CC1CC[C@H]2CCC[C@@H]12
21434,COc1ccc(C=NCCCO)cc1
1367,CCCCCCC
38400,[O-2].[O-2].[O-2].[Pb+2].[Ti+4]
36974,CC[N+](C)(C)CCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
27682,C[C@H]1CC[C@@H]2CCC[C@H]12
29210,CC[N+]1(C)CCCCC1
18802,CC=CC1CCCO1
8613,C[C@H]1C=CCC1
40533,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC
36424,CC[S+](CC)CCOCCOCCOCCOCC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
39526,O=C1CCc2cc(O)ccc2N1
14890,CC1(O)CCCCCCCC1
11409,CCCCOCCC(C)C
25952,N#Cc1ccc(C#N)c(C#N)c1C#N
38480,C=C(C)[C@@H]1CCC(C)=C2CC[C@H](C)[C@@H]2C1
27602,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
35932,CCCCCCCCNCCN.O=C(O)C(F)(F)F

